Phạm vi / Tactic,Tổng rule,Rule có command-line,Tỷ lệ,Rule có command-line thực thi thành công,Tỷ lệ thực thi thành công,Rule có bypass target,Tỷ lệ bypass target,Rule có bypass all,Tỷ lệ bypass all
ALL,781,781,1.0,542,0.6939820742637645,296,0.37900128040973113,218,0.2791293213828425
Collection,24,24,1.0,18,0.75,8,0.3333333333333333,6,0.25
Reconnaissance,4,4,1.0,4,1.0,2,0.5,1,0.25
Resource Development,6,6,1.0,2,0.3333333333333333,1,0.16666666666666666,1,0.16666666666666666
Initial Access,9,9,1.0,5,0.5555555555555556,2,0.2222222222222222,1,0.1111111111111111
Execution,223,223,1.0,166,0.7443946188340808,102,0.45739910313901344,74,0.33183856502242154
Persistence,66,66,1.0,48,0.7272727272727273,23,0.3484848484848485,8,0.12121212121212122
Privilege Escalation,49,49,1.0,38,0.7755102040816326,21,0.42857142857142855,12,0.24489795918367346
Defense Evasion,368,368,1.0,258,0.7010869565217391,141,0.38315217391304346,96,0.2608695652173913
Discovery,79,79,1.0,59,0.7468354430379747,20,0.25316455696202533,17,0.21518987341772153
Lateral Movement,27,27,1.0,20,0.7407407407407407,13,0.48148148148148145,8,0.2962962962962963
Command and Control,66,66,1.0,33,0.5,20,0.30303030303030304,16,0.24242424242424243
Credential Access,89,89,1.0,52,0.5842696629213483,21,0.23595505617977527,18,0.20224719101123595
Exfiltration,13,13,1.0,9,0.6923076923076923,6,0.46153846153846156,5,0.38461538461538464
Impact,16,16,1.0,13,0.8125,6,0.375,6,0.375
