Phạm vi / Tactic,Tổng command-line,Thực thi thành công,Tỷ lệ thực thi,Bypass target rule,Bypass target / total,Bypass target / success,Bypass all rule,Bypass all / total,Bypass all / success
ALL,2226,1404,0.6307277628032345,662,0.2973944294699012,0.47150997150997154,451,0.20260557053009884,0.3212250712250712
Collection,69,46,0.6666666666666666,21,0.30434782608695654,0.45652173913043476,17,0.2463768115942029,0.3695652173913043
Reconnaissance,12,10,0.8333333333333334,5,0.4166666666666667,0.5,2,0.16666666666666666,0.2
Resource Development,18,6,0.3333333333333333,1,0.05555555555555555,0.16666666666666666,1,0.05555555555555555,0.16666666666666666
Initial Access,27,14,0.5185185185185185,3,0.1111111111111111,0.21428571428571427,2,0.07407407407407407,0.14285714285714285
Execution,662,438,0.6616314199395771,242,0.36555891238670696,0.5525114155251142,157,0.23716012084592145,0.3584474885844749
Persistence,196,137,0.6989795918367347,58,0.29591836734693877,0.4233576642335766,20,0.10204081632653061,0.145985401459854
Privilege Escalation,146,105,0.7191780821917808,50,0.3424657534246575,0.47619047619047616,26,0.1780821917808219,0.24761904761904763
Defense Evasion,1090,700,0.6422018348623854,320,0.29357798165137616,0.45714285714285713,194,0.1779816513761468,0.27714285714285714
Discovery,235,156,0.6638297872340425,46,0.19574468085106383,0.2948717948717949,40,0.1702127659574468,0.2564102564102564
Lateral Movement,81,55,0.6790123456790124,31,0.38271604938271603,0.5636363636363636,21,0.25925925925925924,0.38181818181818183
Command and Control,198,97,0.4898989898989899,49,0.2474747474747475,0.5051546391752577,34,0.1717171717171717,0.35051546391752575
Credential Access,266,147,0.5526315789473685,51,0.19172932330827067,0.3469387755102041,38,0.14285714285714285,0.2585034013605442
Exfiltration,39,26,0.6666666666666666,17,0.4358974358974359,0.6538461538461539,14,0.358974358974359,0.5384615384615384
Impact,48,37,0.7708333333333334,12,0.25,0.32432432432432434,11,0.22916666666666666,0.2972972972972973
