tactic,rule_name,title,rule_id,status,level,path,tags,techniques
discovery,proc_creation_win_susp_whoami_as_param,WhoAmI as Parameter,e9142d84-fbe0-401d-ac50-3e519fb00c89,test,high,rules/proc_creation_win_susp_whoami_as_param.yml,attack.discovery; attack.t1033; car.2016-03-001,attack.t1033
discovery,proc_creation_win_sysinternals_accesschk_check_permissions,Permission Check Via Accesschk.EXE,c625d754-6a3d-4f65-9c9a-536aea960d37,test,medium,rules/proc_creation_win_sysinternals_accesschk_check_permissions.yml,attack.discovery; attack.t1069.001,attack.t1069.001
discovery,proc_creation_win_sysinternals_adexplorer_execution,Active Directory Database Snapshot Via ADExplorer,9212f354-7775-4e28-9c9f-8f0a4544e664,test,medium,rules/proc_creation_win_sysinternals_adexplorer_execution.yml,attack.discovery; attack.t1069.002; attack.t1087.002; attack.t1482,attack.t1069.002; attack.t1087.002; attack.t1482
discovery,proc_creation_win_sysinternals_adexplorer_susp_execution,Suspicious Active Directory Database Snapshot Via ADExplorer,ef61af62-bc74-4f58-b49b-626448227652,test,high,rules/proc_creation_win_sysinternals_adexplorer_susp_execution.yml,attack.discovery; attack.t1069.002; attack.t1087.002; attack.t1482,attack.t1069.002; attack.t1087.002; attack.t1482
discovery,proc_creation_win_sysinternals_psloglist,Suspicious Use of PsLogList,aae1243f-d8af-40d8-ab20-33fc6d0c55bc,test,medium,rules/proc_creation_win_sysinternals_psloglist.yml,attack.discovery; attack.t1087; attack.t1087.001; attack.t1087.002,attack.t1087; attack.t1087.001; attack.t1087.002
discovery,proc_creation_win_w32tm,Use of W32tm as Timer,6da2c9f5-7c53-401b-aacb-92c040ce1215,test,high,rules/proc_creation_win_w32tm.yml,attack.discovery; attack.t1124,attack.t1124
discovery,proc_creation_win_webshell_chopper,Chopper Webshell Process Pattern,fa3c117a-bc0d-416e-a31b-0c0e80653efb,test,high,rules/proc_creation_win_webshell_chopper.yml,attack.discovery; attack.persistence; attack.t1018; attack.t1033; attack.t1087; attack.t1505.003,attack.t1018; attack.t1033; attack.t1087; attack.t1505.003
discovery,proc_creation_win_webshell_hacking,Webshell Hacking Activity Patterns,4ebc877f-4612-45cb-b3a5-8e3834db36c9,test,high,rules/proc_creation_win_webshell_hacking.yml,attack.discovery; attack.persistence; attack.t1018; attack.t1033; attack.t1087; attack.t1505.003,attack.t1018; attack.t1033; attack.t1087; attack.t1505.003
discovery,proc_creation_win_webshell_recon_commands_and_processes,Webshell Detection With Command Line Keywords,bed2a484-9348-4143-8a8a-b801c979301c,test,high,rules/proc_creation_win_webshell_recon_commands_and_processes.yml,attack.discovery; attack.persistence; attack.t1018; attack.t1033; attack.t1087; attack.t1505.003,attack.t1018; attack.t1033; attack.t1087; attack.t1505.003
discovery,proc_creation_win_where_browser_data_recon,Suspicious Where Execution,725a9768-0f5e-4cb3-aec2-bc5719c6831a,test,low,rules/proc_creation_win_where_browser_data_recon.yml,attack.discovery; attack.t1217,attack.t1217
discovery,proc_creation_win_whoami_all_execution,Enumerate All Information With Whoami.EXE,c248c896-e412-4279-8c15-1c558067b6fa,test,medium,rules/proc_creation_win_whoami_all_execution.yml,attack.discovery; attack.t1033; car.2016-03-001,attack.t1033
discovery,proc_creation_win_whoami_groups_discovery,Group Membership Reconnaissance Via Whoami.EXE,bd8b828d-0dca-48e1-8a63-8a58ecf2644f,test,medium,rules/proc_creation_win_whoami_groups_discovery.yml,attack.discovery; attack.t1033,attack.t1033
discovery,proc_creation_win_whoami_output,Whoami.EXE Execution With Output Option,c30fb093-1109-4dc8-88a8-b30d11c95a5d,test,medium,rules/proc_creation_win_whoami_output.yml,attack.discovery; attack.t1033; car.2016-03-001,attack.t1033
discovery,proc_creation_win_whoami_priv_discovery,Security Privileges Enumeration Via Whoami.EXE,97a80ec7-0e2f-4d05-9ef4-65760e634f6b,test,high,rules/proc_creation_win_whoami_priv_discovery.yml,attack.discovery; attack.privilege-escalation; attack.t1033,attack.t1033
discovery,proc_creation_win_wmic_recon_computersystem,Computer System Reconnaissance Via Wmic.EXE,9d7ca793-f6bd-471c-8d0f-11e68b2f0d2f,test,medium,rules/proc_creation_win_wmic_recon_computersystem.yml,attack.discovery; attack.execution; attack.t1047,attack.t1047
discovery,proc_creation_win_wmic_recon_group,Local Groups Reconnaissance Via Wmic.EXE,164eda96-11b2-430b-85ff-6a265c15bf32,test,low,rules/proc_creation_win_wmic_recon_group.yml,attack.discovery; attack.t1069.001,attack.t1069.001
discovery,proc_creation_win_wmic_recon_product_class,Potential Product Class Reconnaissance Via Wmic.EXE,e568650b-5dcd-4658-8f34-ded0b1e13992,test,medium,rules/proc_creation_win_wmic_recon_product_class.yml,attack.discovery; attack.execution; attack.t1047; attack.t1082,attack.t1047; attack.t1082
discovery,proc_creation_win_wmic_recon_system_info_uncommon,Uncommon System Information Discovery Via Wmic.EXE,9d5a1274-922a-49d0-87f3-8c653483b909,test,medium,rules/proc_creation_win_wmic_recon_system_info_uncommon.yml,attack.discovery; attack.t1082,attack.t1082
discovery,proc_creation_win_wmic_recon_volume,System Disk And Volume Reconnaissance Via Wmic.EXE,c79da740-5030-45ec-a2e0-479e824a562c,test,medium,rules/proc_creation_win_wmic_recon_volume.yml,attack.discovery; attack.execution; attack.t1047; attack.t1082,attack.t1047; attack.t1082
discovery,proc_creation_win_wmic_stdregprov_reg_modification,Registry Manipulation via WMI Stdregprov,c453ab7a-1f5c-4716-a3b4-dea8135fb43a,experimental,medium,rules/proc_creation_win_wmic_stdregprov_reg_modification.yml,attack.defense-evasion; attack.discovery; attack.execution; attack.t1012; attack.t1047; attack.t1112,attack.t1012; attack.t1047; attack.t1112
execution,proc_creation_win_acccheckconsole_execution,Potential DLL Injection Via AccCheckConsole,0f6da907-5854-4be6-859a-e9958747b0aa,test,medium,rules/proc_creation_win_acccheckconsole_execution.yml,attack.execution; detection.threat-hunting,
execution,proc_creation_win_adplus_memory_dump,Potential Adplus.EXE Abuse,2f869d59-7f6a-4931-992c-cce556ff2d53,test,high,rules/proc_creation_win_adplus_memory_dump.yml,attack.credential-access; attack.defense-evasion; attack.execution; attack.t1003.001,attack.t1003.001
execution,proc_creation_win_autorun_registry_modified_via_wmic,Suspicious Autorun Registry Modified via WMI,c80e66d8-1780-48a9-b412-46663fd21ac0,experimental,high,rules/proc_creation_win_autorun_registry_modified_via_wmic.yml,attack.execution; attack.persistence; attack.t1047; attack.t1547.001,attack.t1047; attack.t1547.001
