tactic,rule_count
reconnaissance,5
resource-development,6
initial-access,9
execution,238
persistence,72
privilege-escalation,51
defense-evasion,380
credential-access,91
discovery,82
lateral-movement,27
collection,26
command-and-control,66
exfiltration,16
impact,16
